,ts_code,symbol,name,area,industry,abbreviation,list_date
3857,603151.SH,603151,邦基科技,山东,饲料,bjkj,20221019
3858,603155.SH,603155,新亚强,江苏,化工原料,xyq,20200901
3859,603156.SH,603156,养元饮品,河北,软饮料,yyyp,20180212
3860,603158.SH,603158,腾龙股份,江苏,汽车配件,tlgf,20150320
3861,603159.SH,603159,上海亚虹,上海,专用机械,shyh,20160812
3862,603160.SH,603160,汇顶科技,深圳,元器件,hdkj,20161017
3863,603161.SH,603161,科华控股,江苏,汽车配件,khkg,20180105
3864,603163.SH,603163,圣晖集成,江苏,建筑工程,shjc,20221013
3865,603165.SH,603165,荣晟环保,浙江,造纸,rshb,20170117
3866,603166.SH,603166,福达股份,广西,汽车配件,fdgf,20141127
3867,603167.SH,603167,渤海轮渡,山东,水运,bhld,20120906
3868,603168.SH,603168,莎普爱思,浙江,化学制药,spas,20140702
3869,603169.SH,603169,兰石重装,甘肃,专用机械,lszz,20141009
3870,603170.SH,603170,宝立食品,上海,食品,blsp,20220715
3871,603171.SH,603171,税友股份,浙江,软件服务,sygf,20210630
3872,603176.SH,603176,汇通集团,河北,建筑工程,htjt,20211231
3873,603177.SH,603177,德创环保,浙江,环境保护,dchb,20170207
3874,603178.SH,603178,圣龙股份,浙江,汽车配件,slgf,20170328
3875,603179.SH,603179,新泉股份,江苏,汽车配件,xqgf,20170317
3876,603180.SH,603180,金牌厨柜,福建,家居用品,jpcg,20170512
3877,603181.SH,603181,皇马科技,浙江,化工原料,hmkj,20170824
3878,603182.SH,603182,嘉华股份,山东,食品,jhgf,20220909
3879,603183.SH,603183,建研院,江苏,建筑工程,jyy,20170905
3880,603185.SH,603185,上机数控,江苏,电气设备,sjsk,20181228
3881,603186.SH,603186,华正新材,浙江,元器件,hzxc,20170103
3882,603187.SH,603187,海容冷链,山东,机械基件,hrll,20181129
3883,603188.SH,603188,亚邦股份,江苏,染料涂料,ybgf,20140909
3884,603189.SH,603189,网达软件,上海,软件服务,wdrj,20160914
3885,603191.SH,603191,望变电气,重庆,电气设备,wbdq,20220428
3886,603192.SH,603192,汇得科技,上海,化工原料,hdkj,20180828
3887,603195.SH,603195,公牛集团,浙江,家用电器,gnjt,20200206
3888,603196.SH,603196,日播时尚,上海,服饰,rbss,20170531
3889,603197.SH,603197,保隆科技,上海,汽车配件,blkj,20170519
3890,603198.SH,603198,迎驾贡酒,安徽,白酒,yjgj,20150528
3891,603199.SH,603199,九华旅游,安徽,旅游景点,jhly,20150326
3892,603200.SH,603200,上海洗霸,上海,环境保护,shxb,20170601
3893,603201.SH,603201,常润股份,江苏,汽车配件,crgf,20220729
3894,603203.SH,603203,快克股份,江苏,专用机械,kkgf,20161108
3895,603206.SH,603206,嘉环科技,江苏,软件服务,jhkj,20220506
3896,603208.SH,603208,江山欧派,浙江,家居用品,jsop,20170210
3897,603209.SH,603209,兴通股份,福建,水运,xtgf,20220324
3898,603211.SH,603211,晋拓股份,上海,汽车配件,jtgf,20220725
3899,603212.SH,603212,赛伍技术,江苏,塑料,swjs,20200430
3900,603213.SH,603213,镇洋发展,浙江,化工原料,zyfz,20211111
3901,603214.SH,603214,爱婴室,上海,百货,ays,20180330
3902,603215.SH,603215,比依股份,浙江,家用电器,bygf,20220218
3903,603216.SH,603216,梦天家居,浙江,家居用品,mtjj,20211215
3904,603217.SH,603217,元利科技,山东,化工原料,ylkj,20190620
3905,603218.SH,603218,日月股份,浙江,电气设备,rygf,20161228
3906,603219.SH,603219,富佳股份,浙江,家用电器,fjgf,20211122
3907,603220.SH,603220,中贝通信,湖北,通信设备,zbtx,20181115
3908,603221.SH,603221,爱丽家居,江苏,家居用品,aljj,20200323
3909,603222.SH,603222,济民医疗,浙江,医疗保健,jmyl,20150217
3910,603223.SH,603223,恒通股份,山东,仓储物流,htgf,20150630
3911,603225.SH,603225,新凤鸣,浙江,化纤,xfm,20170418
3912,603226.SH,603226,菲林格尔,上海,家居用品,flge,20170615
3913,603227.SH,603227,雪峰科技,新疆,化工原料,xfkj,20150515
3914,603228.SH,603228,景旺电子,深圳,元器件,jwdz,20170106
3915,603229.SH,603229,奥翔药业,浙江,化学制药,axyy,20170509
3916,603230.SH,603230,内蒙新华,内蒙,出版业,nmxh,20211224
3917,603232.SH,603232,格尔软件,上海,软件服务,gerj,20170421
3918,603233.SH,603233,大参林,广东,医药商业,dsl,20170731
3919,603235.SH,603235,天新药业,江西,化学制药,txyy,20220712
3920,603236.SH,603236,移远通信,上海,通信设备,yytx,20190716
3921,603237.SH,603237,五芳斋,浙江,食品,wfz,20220831
3922,603238.SH,603238,诺邦股份,浙江,纺织,nbgf,20170222
3923,603239.SH,603239,浙江仙通,浙江,汽车配件,zjxt,20161230
3924,603255.SH,603255,鼎际得,辽宁,化工原料,djd,20220818
3925,603256.SH,603256,宏和科技,上海,玻璃,hhkj,20190719
3926,603258.SH,603258,电魂网络,浙江,互联网,dhwl,20161026
3927,603259.SH,603259,药明康德,江苏,化学制药,ymkd,20180508
